full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
sickn33/antigravity-awesome-skills,32395,32395,5399,26,26,6,https://github.com/sickn33/antigravity-awesome-skills
Yuyz0112/claude-code-reverse,2343,2343,403,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
FlorianBruniaux/claude-code-ultimate-guide,3217,3217,448,9,9,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
fuergaosi233/claude-code-proxy,2402,2402,336,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,4219,4219,372,0,0,0,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2415,2415,333,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
Windy3f3f3f3f/how-claude-code-works,1771,1771,498,3,3,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
Cranot/claude-code-guide,2597,2597,288,0,0,0,https://github.com/Cranot/claude-code-guide
Alishahryar1/free-claude-code,1837,1837,334,0,0,1,https://github.com/Alishahryar1/free-claude-code
wanshuiyin/Auto-claude-code-research-in-sleep,6292,6292,581,34,34,6,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
AprilNEA/claude-code-source,370,370,614,0,0,1,https://github.com/AprilNEA/claude-code-source
ding113/claude-code-hub,2387,2387,271,0,0,0,https://github.com/ding113/claude-code-hub
fazxes/Claude-code,201,201,204,0,0,0,https://github.com/fazxes/Claude-code
anthropics/claude-code-base-action,786,786,599,0,0,0,https://github.com/anthropics/claude-code-base-action
repowise-dev/claude-code-prompts,923,923,352,0,0,0,https://github.com/repowise-dev/claude-code-prompts
https-deeplearning-ai/sc-claude-code-files,483,483,665,1,1,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
router-for-me/CLIProxyAPI,25330,25330,4242,31,31,7,https://github.com/router-for-me/CLIProxyAPI
luyao618/Claude-Code-Source-Study,1111,1111,461,2,2,0,https://github.com/luyao618/Claude-Code-Source-Study
edmund-io/edmunds-claude-code,1390,1390,281,0,0,0,https://github.com/edmund-io/edmunds-claude-code
obra/superpowers,148145,148145,12760,184,184,24,https://github.com/obra/superpowers
guanshan/ClaudeCode,54,54,213,0,0,0,https://github.com/guanshan/ClaudeCode
JrCx7scC/claude-code-source,334,334,494,0,0,0,https://github.com/JrCx7scC/claude-code-source
Pimzino/claude-code-spec-workflow,3642,3642,257,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
snarktank/ralph,15824,15824,1585,80,80,6,https://github.com/snarktank/ralph
eyaltoledano/claude-task-master,26509,26509,2479,3,3,0,https://github.com/eyaltoledano/claude-task-master
Yeachan-Heo/oh-my-claudecode,27984,27984,2591,38,38,7,https://github.com/Yeachan-Heo/oh-my-claudecode
garrytan/gstack,70487,70487,9916,104,104,29,https://github.com/garrytan/gstack
bfly123/claude_code_bridge,2196,2196,207,2,2,0,https://github.com/bfly123/claude_code_bridge
wshobson/agents,33461,33461,3628,10,10,3,https://github.com/wshobson/agents
carlvellotti/claude-code-pm-course,1835,1835,283,2,2,1,https://github.com/carlvellotti/claude-code-pm-course
ghuntley/claude-code-source-code-deobfuscation,972,972,555,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
alejandrobalderas/claude-code-from-source,1174,1174,367,32,32,10,https://github.com/alejandrobalderas/claude-code-from-source
AICoderTudou/claude-code-tudou,472,472,378,1,1,0,https://github.com/AICoderTudou/claude-code-tudou
anthropics/claude-plugins-official,16752,16752,1939,13,13,4,https://github.com/anthropics/claude-plugins-official
rohitg00/awesome-claude-code-toolkit,1204,1204,347,6,6,2,https://github.com/rohitg00/awesome-claude-code-toolkit
alirezarezvani/claude-skills,10673,10673,1351,29,29,7,https://github.com/alirezarezvani/claude-skills
andrew-kramer-inno/claude-code-source-build,566,566,504,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3208,3208,620,3,3,3,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
luongnv89/claude-howto,25569,25569,3077,81,81,6,https://github.com/luongnv89/claude-howto
feiskyer/claude-code-settings,1431,1431,213,0,0,0,https://github.com/feiskyer/claude-code-settings
Hyper66666/claude-code-sourcemap,205,205,453,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
slopus/happy,17777,17777,1452,8,8,0,https://github.com/slopus/happy
sugyan/claude-code-webui,1009,1009,234,0,0,0,https://github.com/sugyan/claude-code-webui
NanmiCoder/cc-haha,5851,5851,6216,4,4,3,https://github.com/NanmiCoder/cc-haha
siteboon/claudecodeui,9720,9720,1294,3,3,2,https://github.com/siteboon/claudecodeui
paoloanzn/free-code,7731,7731,1700,4,4,4,https://github.com/paoloanzn/free-code
centminmod/my-claude-code-setup,2189,2189,216,1,1,0,https://github.com/centminmod/my-claude-code-setup
