full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
ding113/claude-code-hub,3217,3217,372,0,0,0,https://github.com/ding113/claude-code-hub
RichardAtCT/claude-code-telegram,2722,2722,403,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
kodu-ai/claude-coder,5257,5257,198,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2397,2397,406,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
fazxes/Claude-code,225,225,217,0,0,0,https://github.com/fazxes/Claude-code
Cranot/claude-code-guide,2838,2838,320,1,1,0,https://github.com/Cranot/claude-code-guide
SeemSeam/claude_codex_bridge,3203,3203,310,4,4,0,https://github.com/SeemSeam/claude_codex_bridge
multica-ai/andrej-karpathy-skills,188426,188426,19340,78,78,9,https://github.com/multica-ai/andrej-karpathy-skills
luyao618/Claude-Code-Source-Study,1593,1593,551,0,0,0,https://github.com/luyao618/Claude-Code-Source-Study
Windy3f3f3f3f/claude-code-from-scratch,2156,2156,474,2,2,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
Chachamaru127/claude-code-harness,2941,2941,281,1,1,0,https://github.com/Chachamaru127/claude-code-harness
anthropics/skills,158722,158722,18720,54,54,8,https://github.com/anthropics/skills
repowise-dev/claude-code-prompts,1149,1149,386,2,2,0,https://github.com/repowise-dev/claude-code-prompts
https-deeplearning-ai/sc-claude-code-files,533,533,797,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
AprilNEA/claude-code-source,387,387,611,0,0,0,https://github.com/AprilNEA/claude-code-source
anthropics/claude-code-base-action,899,899,613,0,0,0,https://github.com/anthropics/claude-code-base-action
guanshan/ClaudeCode,61,61,213,0,0,0,https://github.com/guanshan/ClaudeCode
JrCx7scC/claude-code-source,371,371,548,0,0,0,https://github.com/JrCx7scC/claude-code-source
edmund-io/edmunds-claude-code,1476,1476,285,0,0,0,https://github.com/edmund-io/edmunds-claude-code
carlvellotti/claude-code-pm-course,2126,2126,348,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
huangjia2019/claude-code-engineering,943,943,339,3,3,0,https://github.com/huangjia2019/claude-code-engineering
Pimzino/claude-code-spec-workflow,3787,3787,265,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
Yeachan-Heo/oh-my-claudecode,37470,37470,3379,6,6,1,https://github.com/Yeachan-Heo/oh-my-claudecode
jqueryscript/awesome-claude-code,458,458,431,0,0,2,https://github.com/jqueryscript/awesome-claude-code
AICoderTudou/claude-code-tudou,497,497,396,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
andrew-kramer-inno/claude-code-source-build,593,593,525,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
disler/pi-vs-claude-code,1455,1455,346,0,0,0,https://github.com/disler/pi-vs-claude-code
feiskyer/claude-code-settings,1576,1576,232,2,2,0,https://github.com/feiskyer/claude-code-settings
darcyegb/ClaudeCodeAgents,744,744,68,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
alirezarezvani/claude-skills,21011,21011,2825,78,78,8,https://github.com/alirezarezvani/claude-skills
krusemediallc/arcads-claude-code,971,971,255,0,0,1,https://github.com/krusemediallc/arcads-claude-code
jeremylongshore/claude-code-plugins-plus-skills,2482,2482,350,2,2,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
KPR111/Claude-Code,18,18,325,0,0,0,https://github.com/KPR111/Claude-Code
VILA-Lab/Dive-into-Claude-Code,1822,1822,275,1,1,0,https://github.com/VILA-Lab/Dive-into-Claude-Code
router-for-me/CLIProxyAPI,39353,39353,6502,16,16,3,https://github.com/router-for-me/CLIProxyAPI
digitalsamba/claude-code-video-toolkit,1680,1680,284,4,4,0,https://github.com/digitalsamba/claude-code-video-toolkit
centminmod/my-claude-code-setup,2486,2486,236,2,2,0,https://github.com/centminmod/my-claude-code-setup
luongnv89/claude-howto,39326,39326,4746,9,9,0,https://github.com/luongnv89/claude-howto
OrcaWhisper/Claude-Code,83,83,161,0,0,0,https://github.com/OrcaWhisper/Claude-Code
asgeirtj/system_prompts_leaks,51016,51016,8315,203,203,28,https://github.com/asgeirtj/system_prompts_leaks
Hyper66666/claude-code-sourcemap,216,216,451,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
